location,1,2,3,4,5
Aruba,0,0,50,100,101
afghanistan,0,1,141,1949,4402
Angola,0,0,7,27,45
Anguilla,0,0,2,3,3
Albania,0,0,232,766,868
Andorra,0,0,370,743,755
United Arab Emirates,4,19,611,11929,18198
Argentina,0,0,966,4272,5776
Armenia,0,0,482,1932,3313
Antigua and Barbuda,0,0,7,24,25
Australia,6,25,4557,6746,6941
Austria,0,7,9618,15364,15787
Azerbaijan,0,1,273,1766,2519
Belgium,0,1,11899,47859,53081
Benin,0,0,6,69,319
Burkina Faso,0,0,222,641,751
Bangladesh,0,0,49,7103,14657
Bulgaria,0,0,359,1447,1965
Bahrain,0,38,515,2921,4941
Bahamas,0,0,14,80,92
Bosnia and Herzegovina,0,0,353,1588,2090
Belarus,0,1,105,13181,22973
Belize,0,0,3,18,18
Bermuda,0,0,27,111,118
Bolivia,0,0,107,1110,2556
Brazil,0,1,4579,78162,162699
Barbados,0,0,34,80,84
Brunei,0,0,127,138,141
Bhutan,0,0,4,7,9
Central African Republic,0,0,6,50,179
Canada,3,16,7424,51587,68848
Switzerland,0,12,15412,29324,30222
Chile,0,0,2449,14885,28866
China,7734,79355,82241,83944,84010
Cote d'Ivoire,0,0,168,1238,1700
Cameroon,0,0,142,1832,2579
Democratic Republic of Congo,0,0,98,500,1024
Congo,0,0,19,220,287
Colombia,0,0,798,6211,11063
Cape Verde,0,0,5,113,246
Costa Rica,0,0,330,713,792
Cuba,0,0,170,1467,1766
Curacao,0,0,9,16,16
Cayman Islands,0,0,12,73,81
Cyprus,0,0,230,843,898
Czech Republic,0,0,3002,7579,8123
Germany,4,57,61913,159119,169575
Djibouti,0,0,26,1077,1210
Dominica,0,0,11,16,16
Denmark,0,2,2577,9008,10429
Dominican Republic,0,0,901,6652,10347
Algeria,0,1,584,3848,5723
Ecuador,0,0,1966,24675,29559
Egypt,0,1,609,5268,9400
Eritrea,0,0,12,39,39
Spain,0,34,85195,213435,224390
Estonia,0,1,715,1666,1739
Ethiopia,0,0,23,130,239
Finland,1,3,1313,4906,5962
Fiji,0,0,5,18,18
France,5,57,44550,128442,139063
Faeroe Islands,0,0,168,187,187
Gabon,0,0,7,276,661
United Kingdom,2,18,22141,165221,219183
Georgia,0,2,98,517,635
Guernsey,0,0,45,251,252
Ghana,0,0,152,1671,4263
Gibraltar,0,0,69,141,146
Guinea,0,0,16,1351,2146
Gambia,0,0,4,11,20
Guinea-Bissau,0,0,2,77,726
Equatorial Guinea,0,0,14,315,439
Greece,0,4,1212,2576,2716
Grenada,0,0,9,20,21
Greenland,0,0,10,11,11
Guatemala,0,0,36,585,1052
Guam,0,0,56,145,151
Guyana,0,0,8,78,104
Honduras,0,0,141,771,1972
Croatia,0,5,790,2062,2187
Haiti,0,0,15,76,182
Hungary,0,0,492,2775,3284
Indonesia,0,0,1414,9771,14032
Isle of Man,0,0,42,313,330
India,1,3,1251,33050,67152
Ireland,0,0,2910,20253,22996
Iran,0,388,41495,93657,107603
Iraq,0,7,630,2003,2767
Iceland,0,1,1086,1797,1801
Israel,0,7,4473,15834,16477
Italy,3,888,101739,203591,219070
Jamaica,0,0,38,396,502
Jersey,0,0,63,286,294
Jordan,0,0,268,451,540
Japan,14,230,1953,14088,15798
Kazakhstan,0,0,325,3205,5126
Kenya,0,0,50,384,672
Kyrgyzstan,0,0,84,746,1016
Cambodia,1,1,109,122,122
