dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,pop,continentExp,,Recovered
5/11/2020,11,5,2020,369,5,Afghanistan,AF,AFG,37172386,Asia,,364
5/10/2020,10,5,2020,255,6,Afghanistan,AF,AFG,37172386,Asia,,249
5/9/2020,9,5,2020,215,3,Afghanistan,AF,AFG,37172386,Asia,,212
5/8/2020,8,5,2020,171,2,Afghanistan,AF,AFG,37172386,Asia,,169
5/7/2020,7,5,2020,168,9,Afghanistan,AF,AFG,37172386,Asia,,159
5/6/2020,6,5,2020,330,5,Afghanistan,AF,AFG,37172386,Asia,,325
5/5/2020,5,5,2020,190,5,Afghanistan,AF,AFG,37172386,Asia,,185
5/4/2020,4,5,2020,235,13,Afghanistan,AF,AFG,37172386,Asia,,222
5/3/2020,3,5,2020,134,4,Afghanistan,AF,AFG,37172386,Asia,,130
5/2/2020,2,5,2020,164,4,Afghanistan,AF,AFG,37172386,Asia,,160
5/1/2020,1,5,2020,222,4,Afghanistan,AF,AFG,37172386,Asia,,218
4/30/2020,30,4,2020,122,0,Afghanistan,AF,AFG,37172386,Asia,,122
4/29/2020,29,4,2020,124,3,Afghanistan,AF,AFG,37172386,Asia,,121
4/28/2020,28,4,2020,172,0,Afghanistan,AF,AFG,37172386,Asia,,172
4/27/2020,27,4,2020,68,10,Afghanistan,AF,AFG,37172386,Asia,,58
4/26/2020,26,4,2020,112,4,Afghanistan,AF,AFG,37172386,Asia,,108
4/25/2020,25,4,2020,70,1,Afghanistan,AF,AFG,37172386,Asia,,69
4/24/2020,24,4,2020,105,2,Afghanistan,AF,AFG,37172386,Asia,,103
4/23/2020,23,4,2020,84,4,Afghanistan,AF,AFG,37172386,Asia,,80
4/22/2020,22,4,2020,61,1,Afghanistan,AF,AFG,37172386,Asia,,60
4/21/2020,21,4,2020,35,2,Afghanistan,AF,AFG,37172386,Asia,,33
4/20/2020,20,4,2020,88,3,Afghanistan,AF,AFG,37172386,Asia,,85
4/19/2020,19,4,2020,63,0,Afghanistan,AF,AFG,37172386,Asia,,63
4/18/2020,18,4,2020,51,1,Afghanistan,AF,AFG,37172386,Asia,,50
4/17/2020,17,4,2020,10,4,Afghanistan,AF,AFG,37172386,Asia,,6
4/16/2020,16,4,2020,70,2,Afghanistan,AF,AFG,37172386,Asia,,68
4/15/2020,15,4,2020,49,2,Afghanistan,AF,AFG,37172386,Asia,,47
4/14/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386,Asia,,55
4/13/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386,Asia,,52
4/12/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386,Asia,,31
4/11/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386,Asia,,37
4/10/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386,Asia,,60
4/9/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386,Asia,,53
4/8/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386,Asia,,26
4/7/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386,Asia,,38
4/6/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386,Asia,,27
4/5/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386,Asia,,34
4/4/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
4/3/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386,Asia,,43
4/2/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386,Asia,,26
4/1/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386,Asia,,25
3/31/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386,Asia,,27
3/30/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386,Asia,,7
3/29/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386,Asia,,14
3/28/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386,Asia,,15
3/27/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
3/26/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386,Asia,,33
3/25/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386,Asia,,2
3/24/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386,Asia,,5
3/23/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386,Asia,,10
3/22/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
3/21/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386,Asia,,2
3/20/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
3/19/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
3/18/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386,Asia,,1
3/17/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386,Asia,,5
3/16/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386,Asia,,6
3/15/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386,Asia,,3
3/11/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386,Asia,,3
3/8/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386,Asia,,3
3/2/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
3/1/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
2/29/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
2/28/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
2/27/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
2/26/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,,0
2/25/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386,Asia,,1
